ID,ID_HECHO,FECHA,ROL
57,2016-0078,2016-06-13,CONDUCTOR
58,2016-0079,2016-06-16,CONDUCTOR
59,2016-0080,2016-06-18,CONDUCTOR
60,2016-0081,2016-06-22,CONDUCTOR
61,2016-0082,2016-06-27,PEATON
62,2016-0083,2016-06-28,PEATON
63,2016-0084,2016-06-29,PEATON
64,2016-0085,2016-06-29,
65,2016-0086,2016-06-30,PEATON
66,2016-0087,2016-07-03,CONDUCTOR
67,2016-0088,2016-07-11,PEATON
68,2016-0089,2016-07-14,PEATON
69,2016-0090,2016-07-14,PEATON
70,2016-0092,2016-07-15,CONDUCTOR
71,2016-0093,2016-07-17,CONDUCTOR
72,2016-0095,2016-07-23,CONDUCTOR
73,2016-0096,2016-07-25,CONDUCTOR
74,2016-0097,2016-07-26,PEATON
75,2016-0098,2016-07-27,CONDUCTOR
76,2016-0099,2016-07-29,CONDUCTOR
77,2016-0100,2016-08-03,CONDUCTOR
78,2016-0101,2016-08-07,
79,2016-0102,2016-08-10,CONDUCTOR
80,2016-0104,2016-08-14,CONDUCTOR
81,2016-0105,2016-08-17,PEATON
82,2016-0106,2016-08-19,PEATON
83,2016-0107,2016-08-20,CONDUCTOR
84,2016-0109,2016-08-24,CONDUCTOR
85,2016-0110,2016-08-24,PEATON
86,2016-0111,2016-08-25,CONDUCTOR
87,2016-0112,2016-08-27,CONDUCTOR
88,2016-0113,2016-08-27,PEATON
89,2016-0114,2016-08-31,CICLISTA
