ID,ID_HECHO,FECHA,COMUNA
1,2016-0001,2016-01-01,8
2,2016-0002,2016-01-02,9
3,2016-0003,2016-01-03,1
4,2016-0004,2016-01-10,8
5,2016-0005,2016-01-21,1
6,2016-0008,2016-01-24,8
7,2016-0009,2016-01-24,11
8,2016-0010,2016-01-29,9
9,2016-0012,2016-02-08,1
10,2016-0013,2016-02-10,1
11,2016-0015,2016-02-14,15
12,2016-0016,2016-02-14,4
13,2016-0017,2016-02-15,8
14,2016-0019,2016-02-17,9
15,2016-0020,2016-02-17,1
16,2016-0021,2016-02-17,7
17,2016-0022,2016-02-21,1
18,2016-0025,2016-02-28,8
19,2016-0026,2016-02-28,12
20,2016-0027,2016-02-28,7
21,2016-0028,2016-03-02,1
22,2016-0029,2016-03-04,12
23,2016-0031,2016-03-08,8
24,2016-0034,2016-03-12,4
25,2016-0035,2016-03-13,3
26,2016-0036,2016-03-14,4
27,2016-0037,2016-03-19,7
28,2016-0038,2016-03-21,8
29,2016-0039,2016-03-23,3
30,2016-0041,2016-03-29,7
31,2016-0043,2016-03-30,8
32,2016-0044,2016-03-31,7
33,2016-0045,2016-04-11,13
34,2016-0047,2016-04-15,1
35,2016-0048,2016-04-15,15
36,2016-0049,2016-04-17,4
37,2016-0050,2016-04-19,8
38,2016-0051,2016-04-20,4
39,2016-0052,2016-04-20,13
40,2016-0053,2016-04-22,12
41,2016-0054,2016-04-23,8
42,2016-0055,2016-04-25,14
43,2016-0056,2016-04-26,14
44,2016-0058,2016-05-04,1
45,2016-0059,2016-05-08,1
46,2016-0064,2016-05-14,10
47,2016-0065,2016-05-20,6
48,2016-0067,2016-05-21,8
49,2016-0068,2016-05-22,2
50,2016-0069,2016-05-23,3
51,2016-0073,2016-06-11,10
52,2016-0074,2016-06-12,8
53,2016-0075,2016-06-12,8
54,2016-0076,2016-06-13,15
55,2016-0077,2016-06-13,1
56,2016-0078,2016-06-13,3
57,2016-0079,2016-06-16,13
58,2016-0080,2016-06-18,9
59,2016-0081,2016-06-22,12
60,2016-0082,2016-06-27,4
61,2016-0083,2016-06-28,6
62,2016-0084,2016-06-29,1
63,2016-0085,2016-06-29,4
64,2016-0086,2016-06-30,10
65,2016-0087,2016-07-02,1
66,2016-0088,2016-07-11,12
67,2016-0089,2016-07-14,13
68,2016-0090,2016-07-14,5
69,2016-0092,2016-07-15,13
70,2016-0093,2016-07-17,6
71,2016-0095,2016-07-23,11
72,2016-0096,2016-07-25,8
73,2016-0097,2016-07-26,1
74,2016-0098,2016-07-27,3
75,2016-0099,2016-07-29,11
76,2016-0100,2016-08-03,12
77,2016-0101,2016-08-07,9
78,2016-0102,2016-08-10,9
79,2016-0104,2016-08-14,9
80,2016-0105,2016-08-17,15
81,2016-0106,2016-08-19,1
82,2016-0107,2016-08-20,4
83,2016-0109,2016-08-24,9
84,2016-0110,2016-08-24,9
85,2016-0111,2016-08-25,15
86,2016-0112,2016-08-27,1
87,2016-0113,2016-08-27,9
88,2016-0114,2016-08-31,14
89,2016-0115,2016-09-02,12
90,2016-0116,2016-09-02,8
91,2016-0117,2016-09-03,14
92,2016-0118,2016-09-04,1
93,2016-0119,2016-09-04,12
94,2016-0122,2016-09-13,9
95,2016-0123,2016-09-14,7
96,2016-0124,2016-09-16,7
97,2016-0125,2016-09-17,10
98,2016-0126,2016-09-18,10
99,2016-0127,2016-09-24,8
100,2016-0128,2016-10-02,5
101,2016-0130,2016-10-04,1
102,2016-0131,2016-10-09,4
103,2016-0132,2016-10-10,3
104,2016-0133,2016-10-14,14
105,2016-0134,2016-10-23,8
106,2016-0135,2016-10-24,14
107,2016-0136,2016-10-25,4
108,2016-0137,2016-10-25,11
109,2016-0138,2016-10-27,13
110,2016-0139,2016-10-28,14
111,2016-0140,2016-10-31,13
112,2016-0142,2016-11-05,1
113,2016-0143,2016-11-06,8
114,2016-0144,2016-11-07,4
115,2016-0145,2016-11-07,13
116,2016-0146,2016-11-09,4
117,2016-0147,2016-11-16,1
118,2016-0148,2016-11-16,15
119,2016-0150,2016-11-18,4
120,2016-0151,2016-11-18,0
121,2016-0152,2016-11-23,7
122,2016-0153,2016-11-25,15
123,2016-0154,2016-11-26,8
124,2016-0155,2016-11-26,10
125,2016-0156,2016-11-26,3
126,2016-0157,2016-12-03,11
127,2016-0159,2016-12-04,8
128,2016-0160,2016-12-06,9
129,2016-0161,2016-12-06,14
130,2016-0162,2016-12-07,15
131,2016-0163,2016-12-10,11
132,2016-0164,2016-12-11,4
133,2016-0165,2016-12-12,4
134,2016-0168,2016-12-13,4
135,2016-0169,2016-12-15,12
136,2016-0170,2016-12-19,12
137,2016-0171,2016-12-25,1
138,2016-0172,2016-12-26,5
139,2016-0173,2016-12-26,7
140,2016-0174,2016-12-27,0
141,2016-0175,2016-12-27,7
142,2016-0176,2016-12-28,1
143,2016-0177,2016-12-29,14
144,2016-0178,2016-12-30,3
145,2017-0001,2017-01-02,11
146,2017-0003,2017-01-05,4
147,2017-0007,2017-01-11,1
148,2017-0008,2017-01-16,14
149,2017-0009,2017-01-16,5
150,2017-0010,2017-01-16,6
151,2017-0011,2017-01-22,12
152,2017-0012,2017-01-24,4
153,2017-0013,2017-01-27,4
154,2017-0014,2017-01-28,12
155,2017-0015,2017-02-02,2
156,2017-0016,2017-02-03,1
157,2017-0017,2017-02-06,14
158,2017-0018,2017-02-09,9
159,2017-0021,2017-02-18,1
160,2017-0024,2017-02-23,7
161,2017-0025,2017-02-24,7
162,2017-0026,2017-02-26,4
163,2017-0027,2017-02-26,1
164,2017-0028,2017-02-28,6
165,2017-0029,2017-03-07,9
166,2017-0030,2017-03-07,9
167,2017-0031,2017-03-11,3
168,2017-0032,2017-03-12,8
169,2017-0033,2017-03-12,11
170,2017-0034,2017-03-13,14
171,2017-0035,2017-03-23,1
172,2017-0036,2017-03-29,12
173,2017-0037,2017-03-31,1
174,2017-0038,2017-04-01,7
175,2017-0040,2017-04-03,13
176,2017-0041,2017-04-03,7
177,2017-0042,2017-04-10,14
178,2017-0045,2017-04-14,10
179,2017-0047,2017-04-23,8
180,2017-0049,2017-04-27,8
181,2017-0050,2017-04-28,9
182,2017-0051,2017-05-01,7
183,2017-0052,2017-05-05,8
184,2017-0053,2017-05-05,4
185,2017-0054,2017-05-07,15
186,2017-0055,2017-05-09,12
187,2017-0058,2017-05-09,1
188,2017-0059,2017-05-11,1
189,2017-0060,2017-05-13,8
190,2017-0061,2017-05-15,2
191,2017-0062,2017-05-15,10
192,2017-0063,2017-05-17,1
193,2017-0064,2017-05-20,1
194,2017-0065,2017-05-22,4
195,2017-0066,2017-05-22,15
196,2017-0067,2017-05-23,6
197,2017-0068,2017-05-27,8
198,2017-0069,2017-05-24,9
199,2017-0070,2017-05-30,11
200,2017-0072,2017-06-03,12
201,2017-0073,2017-06-04,3
202,2017-0074,2017-06-04,9
203,2017-0075,2017-06-12,1
204,2017-0076,2017-06-13,2
205,2017-0077,2017-06-17,14
206,2017-0079,2017-06-19,3
207,2017-0080,2017-06-22,9
208,2017-0082,2017-06-25,4
209,2017-0083,2017-07-04,9
210,2017-0084,2017-07-05,2
211,2017-0085,2017-07-07,4
212,2017-0086,2017-07-09,9
213,2017-0087,2017-07-10,3
214,2017-0088,2017-07-10,1
215,2017-0089,2017-07-13,9
216,2017-0090,2017-07-15,11
217,2017-0091,2017-07-15,12
218,2017-0092,2017-07-24,1
219,2017-0093,2017-07-25,13
220,2017-0094,2017-07-27,10
221,2017-0095,2017-08-06,14
222,2017-0096,2017-08-07,13
223,2017-0098,2017-08-08,7
224,2017-0099,2017-08-17,14
225,2017-0100,2017-08-21,3
226,2017-0101,2017-08-23,13
227,2017-0102,2017-08-24,4
228,2017-0104,2017-08-25,1
229,2017-0106,2017-08-31,14
230,2017-0107,2017-09-01,13
231,2017-0108,2017-09-02,12
232,2017-0109,2017-09-04,7
233,2017-0110,2017-09-06,1
234,2017-0111,2017-09-07,4
235,2017-0112,2017-09-10,7
236,2017-0113,2017-09-11,1
237,2017-0114,2017-09-15,2
238,2017-0115,2017-09-19,5
239,2017-0116,2017-09-20,12
240,2017-0118,2017-09-22,4
241,2017-0120,2017-10-02,9
242,2017-0123,2017-10-10,8
243,2017-0124,2017-10-12,15
244,2017-0125,2017-10-13,8
245,2017-0126,2017-10-14,8
246,2017-0127,2017-10-16,2
247,2017-0128,2017-10-17,6
248,2017-0129,2017-10-26,9
249,2017-0130,2017-10-27,15
250,2017-0132,2017-10-30,8
251,2017-0134,2017-11-06,8
252,2017-0135,2017-11-07,15
253,2017-0136,2017-11-16,4
