ID_HECHO,FECHA,ACUSADO,VICTIMA
2016-0163,2016-12-10,AUTO,MOTO
2016-0164,2016-12-11,AUTO,AUTO
2016-0165,2016-12-12,PASAJEROS,BICICLETA
2016-0168,2016-12-13,AUTO,MOTO
2016-0169,2016-12-15,PASAJEROS,MOTO
2016-0170,2016-12-19,AUTO,MOTO
2016-0171,2016-12-25,MOTO,MOTO
2016-0172,2016-12-26,CARGAS,MOTO
2016-0173,2016-12-26,CARGAS,MOTO
2016-0174,2016-12-27,,
2016-0175,2016-12-27,BICICLETA,PEATON
2016-0176,2016-12-28,PASAJEROS,MOTO
2016-0177,2016-12-29,AUTO,PEATON
2016-0178,2016-12-30,MULTIPLE,PEATON
2017-0001,2017-01-02,CARGAS,MOTO
2017-0003,2017-01-05,CARGAS,CARGAS
2017-0007,2017-01-11,MULTIPLE,PEATON
2017-0008,2017-01-16,PASAJEROS,MOTO
2017-0009,2017-01-16,CARGAS,MOTO
2017-0010,2017-01-16,AUTO,MOTO
2017-0011,2017-01-22,OBJETO FIJO,MOTO
2017-0012,2017-01-24,CARGAS,MOTO
2017-0013,2017-01-27,CARGAS,PEATON
2017-0014,2017-01-28,MULTIPLE,MOTO
2017-0015,2017-02-02,AUTO,PEATON
2017-0016,2017-02-03,CARGAS,MOTO
2017-0017,2017-02-06,AUTO,MOTO
2017-0018,2017-02-09,AUTO,MOTO
2017-0021,2017-02-18,PASAJEROS,MOTO
2017-0024,2017-02-23,PASAJEROS,PEATON
2017-0025,2017-02-24,,MOTO
2017-0026,2017-02-26,OBJETO FIJO,AUTO
2017-0026,2017-02-26,OBJETO FIJO,AUTO
2017-0027,2017-02-26,AUTO,PEATON
2017-0028,2017-02-28,AUTO,PEATON
2017-0029,2017-03-07,AUTO,
2017-0030,2017-03-07,PASAJEROS,AUTO
2017-0031,2017-03-11,OBJETO FIJO,AUTO
2017-0032,2017-03-12,AUTO,AUTO
2017-0033,2017-03-12,AUTO,AUTO
2017-0034,2017-03-13,AUTO,PEATON
2017-0035,2017-03-23,OBJETO FIJO,AUTO
2017-0035,2017-03-23,OBJETO FIJO,AUTO
2017-0035,2017-03-23,OBJETO FIJO,AUTO
2017-0036,2017-03-29,PASAJEROS,MOTO
2017-0036,2017-03-29,PASAJEROS,MOTO
2017-0037,2017-03-31,CARGAS,MOTO
2017-0038,2017-04-01,AUTO,MOTO
2017-0040,2017-04-03,MULTIPLE,AUTO
2017-0041,2017-04-03,AUTO,MOTO
2017-0042,2017-04-10,CARGAS,MOTO
2017-0045,2017-04-14,OBJETO FIJO,MOTO
2017-0047,2017-04-23,AUTO,MOTO
2017-0049,2017-04-27,PASAJEROS,PEATON
2017-0050,2017-04-28,CARGAS,MOTO
2017-0050,2017-04-28,CARGAS,MOTO
2017-0051,2017-05-01,AUTO,AUTO
2017-0052,2017-05-05,CARGAS,PEATON
2017-0053,2017-05-05,CARGAS,MOTO
2017-0054,2017-05-07,AUTO,MOTO
2017-0055,2017-05-09,AUTO,AUTO
2017-0058,2017-05-09,MOTO,PEATON
2017-0059,2017-05-11,PASAJEROS,PEATON
2017-0060,2017-05-13,OBJETO FIJO,MOTO
2017-0061,2017-05-15,MOTO,PEATON
2017-0062,2017-05-15,CARGAS,MOTO
2017-0063,2017-05-17,PASAJEROS,PEATON
2017-0064,2017-05-20,AUTO,CARGAS
2017-0065,2017-05-22,CARGAS,BICICLETA
2017-0066,2017-05-22,PASAJEROS,PEATON
2017-0067,2017-05-23,CARGAS,MOTO
2017-0068,2017-05-27,OBJETO FIJO,MOTO
2017-0069,2017-05-24,,MOTO
2017-0070,2017-05-30,AUTO,PEATON
2017-0072,2017-06-03,AUTO,AUTO
2017-0073,2017-06-04,AUTO,MOTO
2017-0074,2017-06-04,,
2017-0075,2017-06-12,MOTO,PEATON
2017-0076,2017-06-13,CARGAS,PEATON
2017-0077,2017-06-17,CARGAS,MOTO
2017-0079,2017-06-19,CARGAS,MOTO
2017-0080,2017-06-22,CARGAS,PEATON
2017-0082,2017-06-25,AUTO,PEATON
2017-0083,2017-07-04,CARGAS,MOTO
