ID,ID_HECHO,FECHA,ACUSADO
646,2021-0047,2021-06-02,AUTO
647,2021-0048,2021-06-03,AUTO
648,2021-0049,2021-06-03,AUTO
649,2021-0050,2021-06-10,PASAJEROS
650,2021-0051,2021-06-15,CARGAS
651,2021-0052,2021-06-20,OBJETO FIJO
652,2021-0053,2021-06-20,BICICLETA
653,2021-0054,2021-06-22,CARGAS
654,2021-0055,2021-06-29,CARGAS
655,2021-0056,2021-07-09,AUTO
656,2021-0057,2021-07-10,OBJETO FIJO
657,2021-0058,2021-07-21,AUTO
658,2021-0059,2021-07-22,OBJETO FIJO
659,2021-0060,2021-07-22,PASAJEROS
660,2021-0061,2021-07-24,CARGAS
661,2021-0062,2021-07-27,CARGAS
662,2021-0063,2021-08-02,AUTO
663,2021-0064,2021-08-02,CARGAS
664,2021-0065,2021-08-06,PASAJEROS
665,2021-0066,2021-08-06,PASAJEROS
666,2021-0067,2021-08-08,OBJETO FIJO
667,2021-0068,2021-08-15,OBJETO FIJO
668,2021-0069,2021-08-20,AUTO
669,2021-0070,2021-08-28,CARGAS
670,2021-0071,2021-08-31,MOTO
671,2021-0072,2021-09-01,AUTO
672,2021-0073,2021-09-18,AUTO
673,2021-0074,2021-09-20,MULTIPLE
674,2021-0075,2021-09-21,CARGAS
675,2021-0076,2021-10-16,OBJETO FIJO
676,2021-0077,2021-10-18,CARGAS
677,2021-0078,2021-10-23,PASAJEROS
678,2021-0079,2021-10-25,AUTO
679,2021-0080,2021-10-28,AUTO
680,2021-0081,2021-11-02,CARGAS
681,2021-0082,2021-11-06,AUTO
682,2021-0083,2021-11-09,AUTO
683,2021-0084,2021-11-11,OBJETO FIJO
684,2021-0085,2021-11-20,OBJETO FIJO
685,2021-0086,2021-11-25,PASAJEROS
686,2021-0087,2021-11-27,BICICLETA
687,2021-0088,2021-12-01,AUTO
688,2021-0089,2021-12-02,AUTO
689,2021-0090,2021-12-10,PASAJEROS
690,2021-0091,2021-12-11,AUTO
691,2021-0092,2021-12-12,AUTO
692,2021-0093,2021-12-13,AUTO
693,2021-0094,2021-12-20,AUTO
694,2021-0095,2021-12-30,CARGAS
695,2021-0096,2021-12-15,CARGAS
696,2021-0097,2021-11-18,AUTO
